,id,color,color base shade,is duplo?,size type,base shape,base dimensions,number of studs,has slope?,slope degree,in stock,transparent
0,1,darkblue,blue,1,brick,rectangle,2x4,8,False,0.0,1,0
1,2,green,green,1,brick,rectangle,2x4,8,False,0.0,1,0
2,3,coral,red,1,brick,square,2x2,4,False,0.0,1,0
3,4,red,red,1,brick,square,2x2,4,False,0.0,1,0
4,5,white,white,1,brick,square,2x2,4,False,0.0,1,0
5,6,green,green,1,plate,rectangle,2x4,8,False,0.0,1,0
6,7,lightgreen,green,1,plate,rectangle,2x8,16,False,0.0,1,0
7,8,orange,orange,0,brick,square,2x2,4,False,0.0,1,0
8,9,orange,orange,0,plate,rectangle,1x4,4,False,0.0,1,0
9,10,yellow,yellow,0,brick,rectangle,2x4,8,False,0.0,1,0
10,11,yellow,yellow,0,brick,rectangle,1x3,3,False,0.0,1,0
11,12,darkblue,blue,0,brick,rectangle,2x6,12,False,0.0,1,0
12,13,brown,brown,0,brick,rectangle,1x2,2,False,0.0,1,0
13,14,red,red,0,plate,square,2x2,4,False,0.0,1,0
14,15,purple,purple,0,plate,rectangle,4x6,24,False,0.0,1,0
15,16,lilac,pink,0,brick,square,1x2,2,True,45.0,1,0
16,17,orchid,pink,0,brick,rectangle,2x2,4,True,45.0,1,0
17,18,darkgrey,grey,0,plate,rectangle,2x8,16,False,0.0,1,0
18,19,lightgrey,grey,0,brick,square,1x1,1,False,0.0,1,0
19,20,pink,pink,0,plate,rectangle,2x3,6,False,0.0,1,0
20,21,darkgreen,green,0,plate,rectangle,2x4,8,False,0.0,1,0
21,22,cream,brown,0,brick,rectangle,2x3,6,False,0.0,1,0
22,23,red,red,0,brick,circle,2x2,4,False,0.0,1,0
23,24,black,black,0,plate,trapezoid,1x4,4,False,0.0,1,0
24,25,black,black,0,plate,square,1x2,2,False,0.0,1,0
25,26,black,black,0,brick,rectangle,1x1,1,True,45.0,1,0
26,27,darkblue,blue,0,brick,square,1x2,2,True,45.0,1,0
27,28,white,white,0,plate,circle,2x2,4,False,0.0,1,0
28,29,redbrown,red,0,plate,rectangle,0x0,0,False,0.0,1,0
29,30,neonyellow,yellow,0,plate,square,0x0,0,False,0.0,1,0
30,31,cyan,blue,0,plate,rectangle,1x2,2,False,0.0,1,0
31,32,denimblue,blue,0,plate,rectangle,0x0,0,False,0.0,1,0
32,33,iceblue,blue,0,brick,rectangle,1x4,4,False,0.0,1,0
33,34,capri,blue,0,brick,rectangle,1x2,2,False,0.0,1,0
34,35,shinygreen,green,0,brick,square,0x0,0,True,45.0,1,0
35,36,olivegreen,green,0,plate,rectangle,1x2,2,False,0.0,1,0
36,37,beige,brown,0,plate,trapezoid,2x2,4,False,0.0,1,0
37,38,beige,brown,0,plate,square,1x1,1,False,0.0,1,0
38,39,beige,brown,0,plate,circle,2x2+2x4,12,False,0.0,1,0
39,40,brightpink,pink,0,plate,circle,1x1,1,False,0.0,1,0
40,41,transparent,transparent,0,plate,circle,0x0,0,False,0.0,1,0
41,42,lightgreen,green,1,plate,rectangle,2x4,8,0,0.0,1,0
42,43,lightbrown,brown,1,plate,rectangle,2x8,16,0,0.0,1,0
43,44,lightgreen,green,1,brick,square,2x2,4,0,0.0,1,0
44,45,lightpink,pink,1,brick,square,2x2,4,0,0.0,1,0
45,46,red,red,1,brick,rectangle,2x4,8,0,0.0,1,0
46,47,yellow,yellow,1,brick,square,2x2,4,0,0.0,1,0
47,48,darkblue,blue,1,brick,rectangle,2x4,8,0,0.0,1,0
48,49,darkblue,blue,0,brick,rectangle,2x6,12,0,0.0,1,0
49,50,darkblue,blue,0,brick,rectangle,2x3,6,0,0.0,1,0
50,51,red,red,0,brick,rectangle,2x4,8,0,0.0,1,0
51,52,darkgreen,green,0,brick,rectangle,1x3,3,0,0.0,1,0
52,53,darkpink,pink,0,brick,rectangle,1x4,4,0,0.0,1,0
53,54,yellow,yellow,0,brick,square,2x2,4,0,0.0,1,0
54,55,yellow,yellow,0,brick,rectangle,1x2,2,0,0.0,1,0
55,56,orange,orange,0,brick,square,1x2,2,1,45.0,1,0
56,57,darkpurple,purple,0,brick,rectangle,1x2,2,1,45.0,1,0
57,58,red,red,0,brick,rectangle,1x1,1,1,45.0,1,0
58,59,lightpurple,purple,0,brick,square,1x1,1,0,0.0,1,0
59,60,lightpink,pink,0,brick,rectangle,1x2,2,0,0.0,1,0
60,61,white,white,0,plate,rectangle,2x8,16,0,0.0,1,0
61,62,grey,grey,0,plate,rectangle,4x6,24,0,0.0,1,0
62,63,grey,grey,0,plate,triangle,1x4,4,1,15.0,1,0
63,64,mudbrown,brown,0,plate,rectangle,1x4,4,0,0.0,1,0
64,65,white,white,0,plate,rectangle,2x3,6,0,0.0,1,0
65,66,black,black,0,plate,square,1x2,2,0,0.0,1,0
66,67,lightbrown,brown,0,plate,trapezoid,2x2,4,0,0.0,1,0
67,68,grey,grey,0,plate,rectangle,2x4,8,0,0.0,1,0
68,69,white,white,0,plate,rectangle,2x3,0,0,0.0,1,0
69,70,turquoise,blue,0,plate,rectangle,1x2,2,0,0.0,1,0
70,71,lightblue,blue,0,plate,rectangle,1x1,0,0,0.0,1,0
71,72,yellow,yellow,0,plate,square,2x2,4,0,0.0,1,0
72,73,darkblue,blue,0,plate,square,1x1,1,0,0.0,1,0
73,74,darkpink,pink,0,plate,square,1x1,1,0,0.0,1,0
74,75,neonorange,orange,0,plate,rectangle,1x2,2,0,0.0,1,0
75,76,neondarkyellow,yellow,0,plate,circle,1x1,1,0,0.0,1,0
76,77,neonlightyellow,yellow,0,plate,circle,1x1,1,0,0.0,1,0
77,78,orange,orange,0,plate,circle,2x2,12,0,0.0,1,0
78,79,lightpink,pink,0,plate,circle,1x1,4,0,0.0,1,0
79,80,darkbrown,brown,0,plate,triangle,1x1,0,1,45.0,1,0
80,81,grey,grey,0,brick,circle,1x1,4,0,0.0,1,0
81,82,black,black,0,brick,square,1x1,1,1,45.0,1,0
82,83,red,red,1,brick,rectangle,2x4,8,0,0.0,1,0
83,84,brightgreen,green,1,brick,rectangle,2x4,8,0,0.0,1,0
84,85,pink,pink,1,brick,square,2x2,4,0,0.0,1,0
85,86,peach,orange,1,brick,square,2x2,4,0,0.0,1,0
86,87,blue,blue,1,brick,square,2x2,4,0,0.0,1,0
87,88,white,white,1,plate,rectangle,2x8,16,0,0.0,1,0
88,89,blue,blue,1,plate,rectangle,2x4,8,0,0.0,1,0
89,90,blue,blue,0,brick,rectangle,2x6,12,0,0.0,1,0
90,91,white,white,0,brick,rectangle,2x4,8,0,0.0,1,0
91,92,pear,green,0,plate,rectangle,1x4,0,0,0.0,1,0
92,93,pear,green,0,plate,rectangle,1x2,2,0,0.0,1,0
93,94,brightgreen,green,0,brick,rectangle,2x3,6,0,0.0,1,0
94,95,darkgreen,green,0,brick,square,2x2,4,0,0.0,1,0
95,96,darkgreen,green,0,plate,rectangle,4x6,24,0,0.0,1,0
96,97,blue,blue,0,plate,rectangle,2x4,8,0,0.0,1,0
97,98,turquoise,blue,0,brick,rectangle,1x4,4,0,0.0,1,0
98,99,turquoise,blue,0,plate,trapezoid,2x4,4,0,0.0,1,0
99,100,skyblue,blue,0,plate,square,1x1,1,0,0.0,1,0
100,101,skyblue,blue,0,brick,rectangle,1x2,1,1,45.0,1,0
101,102,red,red,0,plate,rectangle,2x8,16,0,0.0,1,0
102,103,yellow,yellow,0,plate,rectangle,2x3,6,0,0.0,1,0
103,104,yellow,yellow,0,brick,rectangle,1x2,2,0,0.0,1,0
104,105,brightyellow,yellow,0,plate,rectangle,1x2,2,0,0.0,1,0
105,106,brightyellow,yellow,0,plate,square,1x1,1,0,0.0,1,0
106,107,white,white,0,plate,square,2x2,4,0,0.0,1,0
107,108,white,white,0,plate,circle,4x4,12,0,0.0,1,0
108,109,black,black,0,plate,square,2x2,2,0,0.0,1,0
109,110,black,black,0,plate,circle,2x2,4,0,0.0,1,0
110,111,black,black,0,brick,square,1x2,2,1,45.0,1,0
111,112,navyblue,blue,0,plate,trapezoid,2x4,4,0,0.0,1,0
112,113,grey,grey,0,brick,circle,2x2,4,0,0.0,1,0
113,114,grey,grey,0,brick,rectangle,2x2,4,0,0.0,1,0
114,115,purple,purple,0,brick,rectangle,1x2,2,0,0.0,1,0
115,116,pink,pink,0,brick,rectangle,1x3,3,0,0.0,1,0
116,117,orange,orange,0,brick,square,1x1,1,0,0.0,1,0
117,118,maroon,red,0,brick,square,2x2,2,1,45.0,1,0
118,119,cream,brown,0,plate,rectangle,1x2,2,0,0.0,1,0
119,120,khaki,brown,0,plate,rectangle,1x4,4,0,0.0,1,0
120,121,neongreen,green,0,plate,circle,1x1,1,0,0.0,1,0
121,122,neonyellow,yellow,0,plate,square,1x1,0,1,30.0,1,0
122,123,neonblue,blue,0,plate,circle,1x1,0,0,0.0,1,0
123,124,coral,red,1,plate,rectangle,2x4,8,0,0.0,1,0
124,125,limegreen,green,1,plate,rectangle,2x8,16,0,0.0,1,0
125,126,red,red,1,brick,square,2x2,4,0,0.0,1,0
126,127,black,black,1,brick,square,2x2,4,0,0.0,1,0
127,128,orange,orange,1,brick,square,2x2,4,0,0.0,1,0
128,129,blue,blue,1,brick,rectangle,2x4,8,0,0.0,1,0
129,130,green,green,1,brick,rectangle,2x4,8,0,0.0,1,0
130,131,blue,blue,0,brick,rectangle,2x6,12,0,0.0,1,0
131,132,purple,purple,0,brick,rectangle,2x4,8,0,0.0,1,0
132,133,grey,grey,0,brick,rectangle,2x3,6,0,0.0,1,0
133,134,blue,blue,0,brick,square,2x2,4,0,0.0,1,0
134,135,green,green,0,brick,rectangle,1x2,2,0,0.0,1,0
135,136,brickred,red,0,brick,rectangle,1x2,2,0,0.0,1,0
136,137,cyan,blue,0,brick,rectangle,1x4,4,0,0.0,1,0
137,138,grey,grey,0,brick,rectangle,1x3,3,0,0.0,1,0
138,139,white,white,0,brick,square,1x1,1,0,0.0,1,0
139,140,red,red,0,brick,circle,2x2,4,0,0.0,1,0
140,141,grey,grey,0,plate,circle,4x4,12,0,0.0,1,0
141,142,pink,pink,0,plate,rectangle,4x6,24,0,0.0,1,0
142,143,navyblue,blue,0,plate,rectangle,2x8,16,0,0.0,1,0
143,144,babyblue,blue,0,plate,rectangle,1x4,4,0,0.0,1,0
144,145,black,black,0,plate,square,2x2,4,0,0.0,1,0
145,146,orange,orange,0,plate,rectangle,2x4,8,0,0.0,1,0
146,147,yellow,yellow,0,plate,rectangle,2x3,6,0,0.0,1,0
147,148,blue,blue,0,plate,trapezoid,2x2,4,0,0.0,1,0
148,149,green,green,0,plate,trapezoid,1x4,4,0,0.0,1,0
149,150,brickred,red,0,plate,rectangle,1x2,2,0,0.0,1,0
150,151,black,black,0,plate,square,2x2,2,0,0.0,1,0
151,152,cafe,brown,0,plate,circle,2x2,4,0,0.0,1,0
152,153,neonyellow,yellow,0,plate,rectangle,1x2,2,0,0.0,1,1
153,154,red,red,0,plate,square,1x1,1,0,0.0,1,1
154,155,navyblue,blue,0,plate,rectangle,1x2,0,0,0.0,1,0
155,156,yellow,yellow,0,plate,square,1x1,0,0,0.0,1,0
156,157,yellow,yellow,0,brick,square,2x2,2,1,45.0,1,0
157,158,darkgreen,green,0,plate,square,1x1,0,1,45.0,1,0
158,159,hotmagent,pink,0,plate,circle,1x1,0,0,0.0,1,1
159,160,orange,orange,0,brick,circle,1x1,1,0,0.0,1,1
160,161,pink,pink,0,brick,rectangle,1x2,2,1,45.0,1,0
161,162,white,white,0,brick,square,2x2,4,1,45.0,1,0
162,163,green,green,0,brick,rectangle,1x2,1,1,45.0,1,0
163,164,green,green,1,brick,rectangle,2x4,8,False,0.0,1,0
164,165,red,red,1,brick,rectangle,2x4,8,False,0.0,1,0
165,166,blue,blue,1,brick,square,2x2,4,False,0.0,1,0
166,167,purple,purple,1,brick,square,2x2,4,False,0.0,1,0
167,168,yellow,yellow,1,brick,square,2x2,4,False,0.0,1,0
168,169,lightgreen,green,0,plate,rectangle,2x8,16,False,0.0,1,0
169,170,red,red,0,plate,rectangle,4x6,24,False,0.0,1,0
170,171,white,white,0,plate,rectangle,2x4,8,False,0.0,1,0
171,172,black,black,0,plate,rectangle,2x8,16,False,0.0,1,0
172,173,white,white,0,plate,rectangle,2x4,8,False,0.0,1,0
173,174,grey,grey,0,plate,square,2x2,4,False,0.0,1,0
174,175,yellow,yellow,0,plate,rectangle,1x4,4,False,0.0,1,0
175,176,blue,blue,0,brick,rectangle,2x6,12,False,0.0,1,0
176,177,black,black,0,plate,square,2x2,2,False,0.0,1,0
177,178,green,green,0,brick,rectangle,2x6,6,False,0.0,1,0
178,179,yellow,yellow,0,plate,rectangle,1x3,0,False,0.0,1,0
179,180,beige,brown,0,brick,rectangle,1x3,3,False,0.0,1,0
180,181,purple,purple,0,brick,square,2x2,4,False,0.0,1,0
181,182,yellow,yellow,0,brick,rectangle,2x4,8,False,0.0,1,0
182,183,beige,brown,0,plate,rectangle,2x4,6,False,0.0,1,0
183,184,skyblue,blue,0,plate,circle,4x4,12,False,0.0,1,0
184,185,deepblue,blue,0,brick,rectangle,1x2,2,False,0.0,1,0
185,186,pink,pink,0,brick,rectangle,1x2,2,False,0.0,1,0
186,187,grey,grey,0,plate,square,1x1,0,False,0.0,1,0
187,188,lightgreen,green,0,brick,square,1x2,2,True,45.0,1,0
188,189,skyblue,blue,0,brick,square,2x2,4,True,45.0,1,0
189,190,purple,purple,0,plate,square,1x1,0,False,0.0,1,0
190,191,pink,pink,0,brick,rectangle,1x2,1,True,45.0,1,0
191,192,green,green,0,plate,rectangle,1x4,0,False,0.0,1,0
192,193,purple,purple,0,plate,rectangle,1x2,2,False,0.0,1,0
193,194,brown,brown,0,brick,rectangle,1x2,2,True,45.0,1,0
194,195,skyblue,blue,0,brick,square,1x1,1,False,0.0,1,0
195,196,grey,grey,0,plate,circle,2x2,4,False,0.0,1,0
196,197,darkblue,blue,0,plate,triangle,1x4,4,False,0.0,1,0
197,198,transparentyellow,yellow,0,plate,rectangle,1x2,2,False,0.0,1,0
198,199,black,black,0,brick,circle,2x2,4,False,0.0,1,0
199,200,transparentorange,orange,0,plate,square,1x1,0,False,0.0,1,0
200,201,blck,black,0,plate,trapezoid,2x2,4,False,0.0,1,0
201,202,yellow,yellow,0,plate,rectangle,1x2,0,False,0.0,1,0
202,203,transparentskyblue,blue,0,plate,circle,1x1,0,False,0.0,1,0
203,204,transparentyellow,yellow,0,plate,circle,1x1,0,False,0.0,1,0
